ISO,Metric,Scenario,Period,Value_Low,Value_Median,Value_High
CZE,tas_JJA,ssp2-45,Midcentury 2040-2059,64.7876807966232,66.3791034576209,67.8293083402164
CZE,tas_JJA,ssp2-45,End of century 2080-2099,65.1763580626672,67.4642530538439,69.1608558826618
DEU,tas_JJA,ssp2-45,Historical 1986-2005,62.1428137319078,62.4708658402432,63.1319434302731
DEU,tas_JJA,ssp2-45,Next decades 2020-2039,64.1583358950331,65.1513971076179,66.0628552943617
DEU,tas_JJA,ssp2-45,Midcentury 2040-2059,64.9319737522627,66.2202653631597,67.5898260957778
DEU,tas_JJA,ssp2-45,End of century 2080-2099,65.3562750886735,67.6297337617898,69.604174543295
DJI,tas_JJA,ssp2-45,Historical 1986-2005,89.8834697678934,90.672650318269,90.8231474751635
DJI,tas_JJA,ssp2-45,Next decades 2020-2039,90.8335181729468,91.9544571322615,92.8298736719926
DJI,tas_JJA,ssp2-45,Midcentury 2040-2059,90.8216466715364,92.5787343256616,94.0279848244433
DJI,tas_JJA,ssp2-45,End of century 2080-2099,92.0732943077883,93.7371324539647,95.6220461896973
DMA,tas_JJA,ssp2-45,Historical 1986-2005,79.0133364385117,79.4966452632395,79.7402304543294
DMA,tas_JJA,ssp2-45,Next decades 2020-2039,80.4890873433337,80.8068950780042,81.2301480797174
DMA,tas_JJA,ssp2-45,Midcentury 2040-2059,80.794223941092,81.2931783705743,81.8594691765127
DMA,tas_JJA,ssp2-45,End of century 2080-2099,81.4418304629894,82.0364858607497,83.3606371677119
DNK,tas_JJA,ssp2-45,Historical 1986-2005,59.5410275849338,59.9465183517535,60.7738269818299
DNK,tas_JJA,ssp2-45,Next decades 2020-2039,61.240413748721,62.5091235391048,63.5221457840664
DNK,tas_JJA,ssp2-45,Midcentury 2040-2059,62.1549781601503,62.9941196013893,64.9049802419061
DNK,tas_JJA,ssp2-45,End of century 2080-2099,62.4082467074802,63.8787699930007,66.3737250579114
DOM,tas_JJA,ssp2-45,Historical 1986-2005,78.671363626145,79.2958833622074,79.4865898547204
DOM,tas_JJA,ssp2-45,Next decades 2020-2039,80.4433838005911,80.8692498161822,81.4217338514747
DOM,tas_JJA,ssp2-45,Midcentury 2040-2059,80.8901119708866,81.6285596647488,82.2999630838882
DOM,tas_JJA,ssp2-45,End of century 2080-2099,81.4079228047099,82.6638013771387,84.3055856289154
DZA,tas_JJA,ssp2-45,Historical 1986-2005,80.4639525795404,81.1684338385725,81.5845118764585
DZA,tas_JJA,ssp2-45,Next decades 2020-2039,83.5204729538559,84.1295455440859,84.8536332408568
DZA,tas_JJA,ssp2-45,Midcentury 2040-2059,84.334766646919,85.4307028281522,86.7848209826724
DZA,tas_JJA,ssp2-45,End of century 2080-2099,85.0041262345114,87.1150430967175,88.834780362238
ECU,tas_JJA,ssp2-45,Historical 1986-2005,63.6450019918822,63.9505480877727,64.0827206819695
ECU,tas_JJA,ssp2-45,Next decades 2020-2039,65.1223269069875,65.4064757292093,65.8921776970281
ECU,tas_JJA,ssp2-45,Midcentury 2040-2059,65.6186547702193,66.1964096408687,67.1470000575628
ECU,tas_JJA,ssp2-45,End of century 2080-2099,66.0053396639839,67.3274199681743,68.7856077701088
EGY,tas_JJA,ssp2-45,Historical 1986-2005,83.2136733846236,83.6616971217773,84.1286241191825
EGY,tas_JJA,ssp2-45,Next decades 2020-2039,85.7320015760531,86.4377123476698,86.9706519430708
EGY,tas_JJA,ssp2-45,Midcentury 2040-2059,86.4731842154123,87.3436949766954,88.7327605168154
EGY,tas_JJA,ssp2-45,End of century 2080-2099,87.2302509078081,88.7858271798525,90.3698122503831
ERI,tas_JJA,ssp2-45,Historical 1986-2005,82.0016400821053,82.3822681200955,82.7453425413052
ERI,tas_JJA,ssp2-45,Next decades 2020-2039,83.1677953222302,83.80640592262,84.8127429191962
ERI,tas_JJA,ssp2-45,Midcentury 2040-2059,82.8421159613182,84.3443481000396,86.1327369816981
ERI,tas_JJA,ssp2-45,End of century 2080-2099,84.2761546038064,85.8091278866782,87.8875376307756
ESB,tas_JJA,ssp2-45,Historical 1986-2005,80.2128559021028,80.5315055158272,81.105773260143
ESB,tas_JJA,ssp2-45,Next decades 2020-2039,82.2190637955975,82.8585108232057,83.6707225570739
ESB,tas_JJA,ssp2-45,Midcentury 2040-2059,82.557108934898,83.6242376252199,84.9883470558657
ESB,tas_JJA,ssp2-45,End of century 2080-2099,83.3950614832766,84.9258685974828,86.852166373532
ESP,tas_JJA,ssp2-45,Historical 1986-2005,70.1025301155802,70.8654357426338,71.5632571235103
ESP,tas_JJA,ssp2-45,Next decades 2020-2039,72.4656170299701,73.547417498156,74.4286396843903
ESP,tas_JJA,ssp2-45,Midcentury 2040-2059,73.6280829260391,74.6227130547137,76.1947319968872
ESP,tas_JJA,ssp2-45,End of century 2080-2099,74.3198961974921,76.365712106189,78.4385139931624
EST,tas_JJA,ssp2-45,Historical 1986-2005,58.8025034410515,59.9984601862175,61.2709236800161
EST,tas_JJA,ssp2-45,Next decades 2020-2039,61.1955923554569,62.655511582841,65.026792750925
EST,tas_JJA,ssp2-45,Midcentury 2040-2059,62.2343266016895,63.5126767613877,66.7476561048067
EST,tas_JJA,ssp2-45,End of century 2080-2099,62.8158910772872,64.3123124200975,68.351782951274
ETH,tas_JJA,ssp2-45,Historical 1986-2005,71.9079452954738,72.1668316575988,72.4394840594615
ETH,tas_JJA,ssp2-45,Next decades 2020-2039,72.954584458909,73.6528487121691,74.2150177653448
ETH,tas_JJA,ssp2-45,Midcentury 2040-2059,73.3970974016878,74.2949749573396,75.4180575372323
ETH,tas_JJA,ssp2-45,End of century 2080-2099,74.3444768713556,75.4253403655412,77.1216187883765
FIN,tas_JJA,ssp2-45,Historical 1986-2005,56.8006738987838,58.0854849244502,59.2707200669849
FIN,tas_JJA,ssp2-45,Next decades 2020-2039,59.5600124303077,60.4628273370199,62.6951589463141
FIN,tas_JJA,ssp2-45,Midcentury 2040-2059,60.2916831563945,61.6587314616554,64.5182487022489
FIN,tas_JJA,ssp2-45,End of century 2080-2099,61.0851921216621,62.5125899207134,65.9315608883395
FJI,tas_JJA,ssp2-45,Historical 1986-2005,75.6677029879975,75.9929339313576,76.2322023711864
FJI,tas_JJA,ssp2-45,Next decades 2020-2039,76.5811320254911,76.9805952765179,77.3573922290689
FJI,tas_JJA,ssp2-45,Midcentury 2040-2059,77.0660623028027,77.4644430161155,78.0164944300661
FJI,tas_JJA,ssp2-45,End of century 2080-2099,77.6500953515581,78.1044027743703,79.1947821520822
FLK,tas_JJA,ssp2-45,Historical 1986-2005,38.3516338851594,38.5462647911485,38.8831357894301
FLK,tas_JJA,ssp2-45,Next decades 2020-2039,38.8507270845459,39.2311039851636,39.6913419697355
FLK,tas_JJA,ssp2-45,Midcentury 2040-2059,39.2905889305521,39.5481071833386,40.2658821577042
FLK,tas_JJA,ssp2-45,End of century 2080-2099,39.7913635439638,40.3424034729799,41.5401898613033
FRA,tas_JJA,ssp2-45,Historical 1986-2005,64.4476760707661,64.9917698822821,65.9057000058889
FRA,tas_JJA,ssp2-45,Next decades 2020-2039,66.6993311118514,67.585374413345,68.719925853118
